TransactionId,Price,Date,Postcode,PropertyType,Old/New,Duration,PAON,SAON,Street,Locality,Town/City,District,County,PpdCategoryType,RecordStatus
{2AC10E4F-AE75-1AF6-E050-A8C063052BA1},159000,06/01/2016 00:00,,,N,F,KINGSMEAD,Test,,,LINCOLN,NORTH KESTEVEN,LINCOLNSHIRE,A,A
{2AC10E4F-AE78-1AF6-E050-A8C063052BA1},125000,21/01/2016 00:00,LN7 6EH,D,N,F,KINGSMEAD,,MIDDLE STREET,NORTH KELSEY,MARKET RASEN,WEST LINDSEY,LINCOLNSHIRE,A,A
